track_name,artist_name,album_name,track_url,popularity,duration_ms,popularity_normalized,duration_min,duration_normalized,alt z,art pop,atl hip hop,bedroom pop,canadian contemporary r&b,chicago rap,children's music,chill abstract hip hop,classic oklahoma country,conscious hip hop,contemporary country,corrido,country rap,dark r&b,dark trap,dfw rap,flamenco fusion,florida drill,gen z singer-songwriter,hip hop,indie folk,indie pop,irish singer-songwriter,k-pop,memphis hip hop,metropopolis,modern country pop,pop,pop soul,puerto rican pop,r&b,rap,reggaeton,romanian pop,singer-songwriter pop,slowed and reverb,social media pop,southern hip hop,trap queen,uk pop,cluster,pca_1,pca_2
BMF,SZA,SOS Deluxe: LANA,https://open.spotify.com/track/3U3hFkMr0Q90pD24EkE3Pr,86,180746,0.86,3.0124333333333335,0.2574456364086365,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,1,-19283.717204555058,8.355796944224654
MILLION DOLLAR BABY,Tommy Richman,MILLION DOLLAR BABY,https://open.spotify.com/track/5AJ9hqTS2wcFQCELCFRO7A,88,155151,0.88,2.58585,0.18932980623115475,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,-44878.717153796264,10.9518763407824
Wind Up Missin’ You,Tucker Wetmore,Waves On A Sunset,https://open.spotify.com/track/3EO58D1YpHnTvBy68gK8HE,79,166666,0.79,2.7777666666666665,0.21997461125142045,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,1,-33363.71736551573,1.6792469968083565
Bed Chem,Sabrina Carpenter,Short n' Sweet,https://open.spotify.com/track/1UHS8Rf6h5Ar3CDWRd3wjF,88,171869,0.88,2.8644833333333333,0.23382132601654793,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,1,-28160.71715658982,10.563442599350324
Sailor Song,Gigi Perez,Sailor Song,https://open.spotify.com/track/2262bWmqomIaJXwCRHr13j,93,211978,0.93,3.532966666666667,0.3405631831210064,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,11948.282955966104,14.623390438387345
Lies Lies Lies,Morgan Wallen,Lies Lies Lies,https://open.spotify.com/track/7Fzl7QaTu47WyP9R5S5mh5,80,198068,0.8,3.3011333333333335,0.30354457801185347,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,-1961.7173463340996,1.947187766827326
WILDFLOWER,Billie Eilish,HIT ME HARD AND SOFT,https://open.spotify.com/track/3QaPy1KgI7nu9FJEQUgn6h,92,261466,0.92,4.357766666666667,0.47226532040653935,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,61436.28292620838,12.467830715889935
Pink Pony Club,Chappell Roan,The Rise and Fall of a Midwest Princess,https://open.spotify.com/track/1k2pQc5i348DCHwbn5KTdc,85,258034,0.85,4.300566666666667,0.463131758024468,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,58004.28276281303,5.546032056256626
Like Him (feat. Lola Young),"Tyler, The Creator, Lola Young",CHROMAKOPIA,https://open.spotify.com/track/6jbYpRPTEFl1HFKHk1IC0m,89,278014,0.89,4.633566666666667,0.5163044201438697,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2,77984.28285394944,9.078734470507621
I Never Lie,Zach Top,Cold Beer & Country Music,https://open.spotify.com/track/3t6gUcGYLrUuqwpXjOFWQc,79,224906,0.79,3.7484333333333333,0.3749683971289956,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,0,24876.282626714452,0.3171270060767538
I'm Gonna Love You,"D.O., Wonstein",공감 (Empathy) - The 1st Mini Album,https://open.spotify.com/track/1jxGBe4s8FwL2ZeNWszVuu,63,151733,0.63,2.5288833333333334,0.18023350197068852,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,-48296.71773836398,-13.968257883180796
Scorsese Baby Daddy,SZA,SOS Deluxe: LANA,https://open.spotify.com/track/2E7a96qey4AzSOdK6H21vS,82,153911,0.82,2.565183333333333,0.18602980117469534,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,1,-46118.7172945369,4.983355363827904
Tu Boda,"Oscar Maydon, Fuerza Regida",Tu Boda,https://open.spotify.com/track/1cOboCuWYI2osTOfolMRS6,91,225880,0.91,3.764666666666667,0.3775604978749565,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,25850.28290717813,12.297973843105792
