track_name,artist_name,album_name,track_url,popularity,duration_ms,primary_genre
Kitchen,SZA,SOS Deluxe: LANA,https://open.spotify.com/track/3VPeA7IW68QRNTfgzb6biZ,80,172171,pop
Peekaboo,Super Simple Songs,Baby Shark & More Kids Songs,https://open.spotify.com/track/422QSRjDkp8dBw3Yh24AUx,48,84009,children's music
Burning Down (with Joe Jonas),"Alex Warren, Joe Jonas",Burning Down (with Joe Jonas),https://open.spotify.com/track/3diSxgK7bRIZzqu5IqFgd1,74,179437,gen z singer-songwriter
Disease,Lady Gaga,Disease,https://open.spotify.com/track/19KlZwqlT3fguP2BeHF1Q1,83,229997,art pop
Shake Dat Ass (Twerk Song),BossMan Dlow,Too Slippery,https://open.spotify.com/track/1vkpe29DP5EvAxYnWVq5C1,69,197000,UNKNOWN
Gang Baby,NLE Choppa,SLUT SZN,https://open.spotify.com/track/76Ku9OBFK1NjMylR8r4WLK,82,138180,memphis hip hop
Khé?,"Rauw Alejandro, Romeo Santos",Cosa Nuestra,https://open.spotify.com/track/1YYfyJ2yCvGFCxwjsIqEK9,88,206066,puerto rican pop
Brokey,Latto,Sugar Honey Iced Tea,https://open.spotify.com/track/1JF8LkQWZ8grXb2emqrNKn,70,217613,trap queen
ROSONES,"Jorsshh, Fuerza Regida",ROSONES,https://open.spotify.com/track/6x59lSlNU7TvsJZy7134uC,85,178079,UNKNOWN
Juno,Sabrina Carpenter,Short n' Sweet,https://open.spotify.com/track/21B4gaTWnTkuSh77iWEXdS,86,223192,pop
Nadie,Farruko,Gangalee,https://open.spotify.com/track/0REjFxlMJRQxPqWSdmXiAT,48,228760,reggaeton
What Is This Feeling?,"Ariana Grande, Cynthia Erivo",Wicked: The Soundtrack,https://open.spotify.com/track/7eGuPhpdS8sBjPJNuAShUX,84,228947,pop
El Club,"Yusei, Ydd Matt",Yusei 1am Vibe,https://open.spotify.com/track/0OZpnawYLRYZginHOpsOb9,3,232272,slowed and reverb
"dodger blue (feat. wallie the sensei, siete7x, roddy ricch)","Kendrick Lamar, Wallie the Sensei, Siete7x, Roddy Ricch",GNX,https://open.spotify.com/track/4K1Pg0FLno1ltzX3jeqT83,83,131240,conscious hip hop
PIToRRO DE COCO,Bad Bunny,PIToRRO DE COCO,https://open.spotify.com/track/1OSOHTBFkIkhUtxhOyUksc,80,206627,reggaeton
The Largest,BigXthaPlug,TAKE CARE,https://open.spotify.com/track/3neOwym9kfYsM1QWaR77C1,73,132160,southern hip hop
Wondering Why,The Red Clay Strays,Moment of Truth,https://open.spotify.com/track/1HbzxLqpNVPdiBXvpC7Ovb,80,232917,modern country pop
Ends of the Earth,Lord Huron,Lonesome Dreams (Bonus Track Version),https://open.spotify.com/track/0iMt8ZMe2BsNvsF9LFDOAn,69,284146,indie folk
Chill Baby,SZA,SOS Deluxe: LANA,https://open.spotify.com/track/0qpdzfTxAkOREtvvGO5oew,78,140637,pop
Holy Smokes,Bailey Zimmerman,Holy Smokes,https://open.spotify.com/track/1kMWJ16W3Yk3hyNmaM7jfQ,75,195157,contemporary country
High Road,Zach Bryan,High Road,https://open.spotify.com/track/4CcozggmhXmndssEDH6YHR,75,199893,classic oklahoma country
on one tonight,Gunna,One of Wun,https://open.spotify.com/track/6EUcP55GlbmsmCzfL2vxtZ,84,90760,atl hip hop
St. Chroma,"Trey, The Creator",St. Chroma,https://open.spotify.com/track/6rqboUYTNWAy7bnKZPdsJ3,48,84845,UNKNOWN
Cowboy Songs,George Birge,Cowboy Songs,https://open.spotify.com/track/7LV9OX6WfOTndB4BqoXDEE,56,187186,modern country pop
