track_name,artist_name,album_name,track_url,popularity,duration_ms,popularity_normalized,duration_min,duration_normalized,alt z,art pop,atl hip hop,bedroom pop,canadian contemporary r&b,chicago rap,children's music,chill abstract hip hop,classic oklahoma country,conscious hip hop,contemporary country,corrido,country rap,dark r&b,dark trap,dfw rap,flamenco fusion,florida drill,gen z singer-songwriter,hip hop,indie folk,indie pop,irish singer-songwriter,k-pop,memphis hip hop,metropopolis,modern country pop,pop,pop soul,puerto rican pop,r&b,rap,reggaeton,romanian pop,singer-songwriter pop,slowed and reverb,social media pop,southern hip hop,trap queen,uk pop
What Is This Feeling?,"Ariana Grande, Cynthia Erivo",Wicked: The Soundtrack,https://open.spotify.com/track/7eGuPhpdS8sBjPJNuAShUX,84,228947,0.84,3.8157833333333335,0.38572268780089264,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
El Club,"Yusei, Ydd Matt",Yusei 1am Vibe,https://open.spotify.com/track/0OZpnawYLRYZginHOpsOb9,3,232272,0.03,3.8712,0.39457149168212435,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
"dodger blue (feat. wallie the sensei, siete7x, roddy ricch)","Kendrick Lamar, Wallie the Sensei, Siete7x, Roddy Ricch",GNX,https://open.spotify.com/track/4K1Pg0FLno1ltzX3jeqT83,83,131240,0.83,2.187333333333333,0.1256955958238968,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
PIToRRO DE COCO,Bad Bunny,PIToRRO DE COCO,https://open.spotify.com/track/1OSOHTBFkIkhUtxhOyUksc,80,206627,0.8,3.443783333333333,0.3263225967846241,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
The Largest,BigXthaPlug,TAKE CARE,https://open.spotify.com/track/3neOwym9kfYsM1QWaR77C1,73,132160,0.73,2.2026666666666666,0.12814398667223764,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
Wondering Why,The Red Clay Strays,Moment of Truth,https://open.spotify.com/track/1HbzxLqpNVPdiBXvpC7Ovb,80,232917,0.8,3.88195,0.39628802657036327,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
Ends of the Earth,Lord Huron,Lonesome Dreams (Bonus Track Version),https://open.spotify.com/track/0iMt8ZMe2BsNvsF9LFDOAn,69,284146,0.69,4.735766666666667,0.5326234774069413,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Chill Baby,SZA,SOS Deluxe: LANA,https://open.spotify.com/track/0qpdzfTxAkOREtvvGO5oew,78,140637,0.78,2.34395,0.15070377930417797,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
Holy Smokes,Bailey Zimmerman,Holy Smokes,https://open.spotify.com/track/1kMWJ16W3Yk3hyNmaM7jfQ,75,195157,0.75,3.2526166666666665,0.295797550012375,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
High Road,Zach Bryan,High Road,https://open.spotify.com/track/4CcozggmhXmndssEDH6YHR,75,199893,0.75,3.33155,0.3084014402925295,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
on one tonight,Gunna,One of Wun,https://open.spotify.com/track/6EUcP55GlbmsmCzfL2vxtZ,84,90760,0.84,1.5126666666666666,0.017966398496900914,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Cowboy Songs,George Birge,Cowboy Songs,https://open.spotify.com/track/7LV9OX6WfOTndB4BqoXDEE,56,187186,0.56,3.1197666666666666,0.27458437234702215,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
